x1,x2,x3,x4,x5,x6,x7,Stats_Discrepancy,AD_Stats_Discrepancy,Difference
10,30,35,218,651,30,30,-0.1259,-0.11943,-0.006470000000000017
10,30,35,218,676,30,30,-0.108,-0.10153,-0.0064700000000000035
10,30,35,218,702,30,30,-0.09214,-0.08568,-0.0064599999999999935
10,30,35,218,727,30,30,-0.07887,-0.07242,-0.006449999999999997
10,30,35,218,752,30,30,-0.06793,-0.06149,-0.006440000000000001
10,30,35,218,550,30,30,-0.21604,-0.20964,-0.006400000000000017
10,30,35,218,626,30,30,-0.14596,-0.13956,-0.006400000000000017
10,30,35,218,601,30,30,-0.16797,-0.16159,-0.006379999999999997
10,30,35,218,575,30,30,-0.1915,-0.18514,-0.0063600000000000045
10,30,35,218,777,30,30,-0.0591,-0.05274,-0.006359999999999998
10,30,35,218,803,30,30,-0.05229,-0.04595,-0.006340000000000005
10,30,35,218,828,30,30,-0.04652,-0.04018,-0.006339999999999998
10,30,35,218,853,30,30,-0.04225,-0.03595,-0.0063
10,30,35,218,878,30,30,-0.03845,-0.03216,-0.006289999999999997
10,30,35,218,904,30,30,-0.03517,-0.0289,-0.006270000000000001
10,30,35,218,929,30,30,-0.03233,-0.02606,-0.006269999999999998
10,30,35,218,500,30,30,-0.26694,-0.26067,-0.006269999999999998
10,30,35,218,525,30,30,-0.24124,-0.23498,-0.0062600000000000156
10,30,35,218,954,30,30,-0.02909,-0.0229,-0.006190000000000001
10,30,35,218,979,30,30,-0.0259,-0.01975,-0.006149999999999999
10,30,35,218,1005,30,30,-0.02284,-0.01671,-0.00613
10,30,35,218,1030,30,30,-0.02005,-0.01395,-0.006099999999999998
10,30,35,236,929,30,30,-0.06022,-0.05423,-0.005990000000000002
10,30,35,236,954,30,30,-0.05732,-0.05136,-0.00596
10,30,35,236,904,30,30,-0.06284,-0.05696,-0.005879999999999996
10,30,35,236,979,30,30,-0.05436,-0.04848,-0.005879999999999996
10,30,35,236,1005,30,30,-0.05158,-0.04573,-0.005850000000000001
10,30,35,218,1055,30,30,-0.01735,-0.01151,-0.0058400000000000014
10,30,35,236,878,30,30,-0.06599,-0.06031,-0.005679999999999991
10,30,35,236,1030,30,30,-0.0489,-0.04329,-0.005609999999999997
10,30,35,236,853,30,30,-0.06969,-0.06409,-0.005600000000000008
10,30,35,218,1080,30,30,-0.01482,-0.00922,-0.005599999999999999
10,30,35,236,828,30,30,-0.07374,-0.0682,-0.005540000000000003
10,30,35,218,1106,30,30,-0.01256,-0.00716,-0.0054
10,30,35,236,803,30,30,-0.07902,-0.07364,-0.00538000000000001
10,30,35,236,1055,30,30,-0.04639,-0.04102,-0.00537
10,30,35,218,1131,30,30,-0.01027,-0.00504,-0.005229999999999999
10,30,35,236,777,30,30,-0.08548,-0.08028,-0.005199999999999996
10,30,35,236,1080,30,30,-0.044,-0.0389,-0.0051
10,30,35,236,752,30,30,-0.09385,-0.08876,-0.005089999999999997
10,30,35,218,1156,30,30,-0.00837,-0.00335,-0.00502
10,30,35,236,727,30,30,-0.10403,-0.09903,-0.0049999999999999906
10,30,35,218,1181,30,30,-0.00644,-0.00154,-0.004900000000000001
10,30,35,236,1106,30,30,-0.0416,-0.03676,-0.004839999999999997
10,30,35,236,702,30,30,-0.11634,-0.11151,-0.004830000000000001
10,30,35,236,676,30,30,-0.13118,-0.12637,-0.004809999999999981
10,30,35,218,1207,30,30,-0.00454,0.00022,-0.0047599999999999995
10,30,35,236,1131,30,30,-0.03949,-0.0348,-0.00469
10,30,35,236,1712,30,30,-0.00528,-0.00059,-0.00469
10,30,35,236,1686,30,30,-0.00598,-0.0013,-0.00468
10,30,35,236,1636,30,30,-0.00787,-0.00319,-0.00468
10,30,35,236,1611,30,30,-0.00891,-0.00423,-0.004679999999999999
10,30,35,236,651,30,30,-0.14808,-0.1434,-0.00467999999999999
10,30,35,236,1813,30,30,-0.00306,0.00161,-0.00467
10,30,35,236,1661,30,30,-0.00691,-0.00225,-0.004660000000000001
10,30,35,236,1762,30,30,-0.00405,0.00061,-0.00466
10,30,35,236,1737,30,30,-0.00479,-0.00013,-0.00466
10,30,35,218,1232,30,30,-0.00288,0.00175,-0.0046300000000000004
10,30,35,236,1560,30,30,-0.01124,-0.00661,-0.00463
10,30,35,236,1787,30,30,-0.00341,0.00121,-0.00462
10,30,35,236,1156,30,30,-0.03743,-0.03282,-0.004609999999999996
10,30,35,236,1838,30,30,-0.00242,0.00216,-0.00458
10,30,35,236,1535,30,30,-0.01254,-0.00798,-0.0045600000000000016
10,30,35,236,1585,30,30,-0.00997,-0.00541,-0.00456
10,30,35,236,1510,30,30,-0.01402,-0.00947,-0.00455
10,30,35,218,1257,30,30,-0.00129,0.00326,-0.00455
10,30,35,236,1863,30,30,-0.00185,0.00269,-0.004540000000000001
10,30,35,236,626,30,30,-0.16702,-0.16248,-0.0045399999999999885
10,30,35,236,1181,30,30,-0.03543,-0.0309,-0.004530000000000003
10,30,35,236,1358,30,30,-0.0229,-0.01837,-0.004529999999999999
10,30,35,236,2318,30,30,0.00852,0.01303,-0.00451
10,30,35,236,1257,30,30,-0.02973,-0.02524,-0.004490000000000001
10,30,35,236,1207,30,30,-0.03322,-0.02873,-0.004490000000000001
10,30,35,236,2368,30,30,0.00949,0.01398,-0.004489999999999999
10,30,35,236,1308,30,30,-0.02628,-0.0218,-0.004480000000000001
10,30,35,236,1232,30,30,-0.03146,-0.02698,-0.004480000000000001
10,30,35,236,2191,30,30,0.00625,0.01073,-0.00448
10,30,35,236,2343,30,30,0.00901,0.01349,-0.00448
10,30,35,236,1333,30,30,-0.02447,-0.01999,-0.004479999999999998
10,30,35,236,1459,30,30,-0.01709,-0.01263,-0.00446
10,30,35,236,2292,30,30,0.00805,0.01251,-0.00446
10,30,35,236,2267,30,30,0.00773,0.01219,-0.0044599999999999996
10,30,35,236,1282,30,30,-0.02782,-0.02337,-0.0044500000000000026
10,30,35,236,1484,30,30,-0.01554,-0.01109,-0.004450000000000001
10,30,35,236,2242,30,30,0.00717,0.01162,-0.00445
10,30,35,236,2217,30,30,0.00668,0.01113,-0.004449999999999999
10,30,35,236,601,30,30,-0.18768,-0.18324,-0.004440000000000027
10,30,35,236,2393,30,30,0.00998,0.01442,-0.004440000000000001
10,30,35,236,1383,30,30,-0.02157,-0.01713,-0.0044399999999999995
10,30,35,218,1282,30,30,0.00035,0.00478,-0.004430000000000001
10,30,35,236,1888,30,30,-0.00147,0.00295,-0.00442
10,30,35,236,1434,30,30,-0.01859,-0.01418,-0.004409999999999999
10,30,35,236,2419,30,30,0.01062,0.01502,-0.004400000000000001
10,30,35,236,1409,30,30,-0.02016,-0.01577,-0.0043900000000000015
10,30,35,236,2621,30,30,0.01568,0.02007,-0.0043900000000000015
10,30,35,236,1914,30,30,-0.00085,0.00354,-0.00439
10,30,35,218,1308,30,30,0.0016,0.00598,-0.00438
10,30,35,236,2444,30,30,0.0111,0.01548,-0.00438
10,30,35,236,2166,30,30,0.00587,0.01023,-0.004359999999999999
10,30,35,236,2722,30,30,0.01784,0.02219,-0.00435
10,30,35,236,2696,30,30,0.01735,0.02168,-0.0043300000000000005
10,30,35,236,2747,30,30,0.01833,0.02266,-0.0043300000000000005
10,30,35,236,2646,30,30,0.0164,0.02073,-0.004329999999999997
10,30,35,236,2469,30,30,0.01182,0.01614,-0.004320000000000001
10,30,35,236,2671,30,30,0.017,0.02131,-0.004309999999999998
10,30,35,236,2141,30,30,0.00509,0.00939,-0.004300000000000001
10,30,35,236,575,30,30,-0.20967,-0.20537,-0.004299999999999998
10,30,35,236,2595,30,30,0.01522,0.01951,-0.00429
10,30,35,236,1939,30,30,-0.00024,0.00405,-0.0042899999999999995
