Scan MSE MAE Bias Total_meas Total_true_unmasked Total_meas_mm2 Total_true_mm2_unmasked
0 0.23522 0.38906 0.31032 634.54883 570.61469 0.17058 0.15339
1 0.25567 0.40928 0.33427 643.79027 570.61469 0.17306 0.15339
2 0.23431 0.38571 0.29327 640.18834 570.61469 0.17209 0.15339
3 0.19299 0.34026 0.23667 623.20823 566.93330 0.16862 0.15339
4 0.27448 0.42196 0.35831 650.90555 570.61469 0.17497 0.15339
5 0.18306 0.33638 0.25321 623.98190 570.61469 0.16774 0.15339
6 0.20726 0.36081 0.27752 631.22612 570.61469 0.16968 0.15339
7 0.18682 0.33995 0.19840 615.80587 570.61469 0.16554 0.15339
8 0.21271 0.35489 0.25157 629.77081 566.93330 0.17039 0.15339
9 0.20553 0.35549 0.23635 621.03532 570.61469 0.16694 0.15339
10 0.19544 0.35573 0.27334 629.98250 570.61469 0.16935 0.15339
11 0.22466 0.37250 0.27287 629.83146 570.60487 0.16931 0.15339
12 0.20335 0.36288 0.24797 626.07265 565.78307 0.16830 0.15209
13 0.20607 0.36002 0.26114 623.16382 557.44608 0.16860 0.15082
14 0.18282 0.30746 0.13793 578.17758 557.00031 0.15542 0.14973
15 0.14578 0.29202 0.11531 569.20279 552.29218 0.15301 0.14847
16 0.19365 0.33734 0.21968 600.60760 548.10162 0.16145 0.14734
17 0.17315 0.31989 0.17795 587.45884 544.05551 0.15792 0.14625
18 0.14390 0.29092 0.16821 574.21477 536.46748 0.15536 0.14515
19 0.14440 0.28449 0.13500 557.84470 537.27788 0.14996 0.14443
20 0.14107 0.28151 0.09941 543.70631 532.73493 0.14616 0.14321
21 0.10542 0.24770 0.09779 542.63060 529.21852 0.14587 0.14226
22 0.12692 0.26740 0.09425 538.04977 525.82331 0.14464 0.14135
23 0.11924 0.24948 0.07682 534.86587 518.87552 0.14471 0.14039
24 0.11969 0.25729 0.03278 517.19587 526.44919 0.13903 0.14152
25 0.10472 0.24396 0.05531 526.00329 528.03346 0.14140 0.14194
26 0.09780 0.23861 0.04863 530.53281 530.89302 0.14262 0.14271
27 0.11117 0.25546 0.11530 553.42658 533.83662 0.14877 0.14350
28 0.10740 0.24008 0.04015 536.14664 533.18532 0.14506 0.14426
29 0.09832 0.23488 0.03592 533.56329 540.79186 0.14343 0.14537
30 0.11039 0.24840 0.06085 542.22424 543.19663 0.14576 0.14602
31 0.09726 0.23850 0.07937 552.22435 546.50178 0.14845 0.14691
32 0.09220 0.23647 0.07173 555.20222 549.90404 0.14925 0.14782
33 0.10854 0.25798 0.04469 548.53337 549.85297 0.14841 0.14877
34 0.21374 0.32456 0.03222 626.47040 641.79333 0.16841 0.17253
35 0.67458 0.48815 0.06861 788.31010 800.12220 0.21191 0.21509
36 2.37378 0.79563 -0.09493 1024.88651 1071.37771 0.27551 0.28800
37 7.82381 1.21020 0.07065 1526.69558 1541.81980 0.41040 0.41447
38 29.96721 2.27545 0.41113 2469.40246 2354.03249 0.66813 0.63691
39 137.95358 5.22537 0.97217 3915.46556 3681.44691 1.05254 0.98964
40 88.35627 4.44854 3.39875 3354.52359 2396.10679 0.90175 0.64411
41 23.04790 2.33435 1.83736 2102.38859 1589.03306 0.56516 0.42716
42 6.88407 1.31974 0.88747 1374.85331 1113.37943 0.36958 0.29930
43 2.09313 0.84604 0.59669 1010.71118 829.36879 0.27346 0.22440
44 0.72665 0.56412 0.42646 771.26239 665.27802 0.20733 0.17884
45 0.26680 0.37693 0.24681 624.16199 570.61469 0.16779 0.15339
46 0.11286 0.24377 0.08993 586.90950 570.61469 0.15777 0.15339
47 0.10938 0.24975 0.10361 593.01249 570.61469 0.15941 0.15339
48 0.14692 0.28301 0.11770 601.22590 566.93330 0.16267 0.15339
49 0.12889 0.27587 0.10726 586.33244 570.61469 0.15762 0.15339
50 0.12778 0.26171 0.10229 582.89598 570.61469 0.15669 0.15339
51 0.12823 0.27015 0.14987 599.16036 570.61469 0.16106 0.15339
52 0.14053 0.27707 0.11837 599.47423 570.61469 0.16115 0.15339
53 0.12938 0.27585 0.13727 605.25607 566.93330 0.16376 0.15339
