Scan MSE MAE Bias Total_meas Total_true_unmasked Total_meas_mm2 Total_true_mm2_unmasked
0 0.47841 0.49791 0.36840 675.98204 570.61469 0.18172 0.15339
1 0.55470 0.52230 0.37678 685.19774 570.61469 0.18419 0.15339
2 0.43142 0.49579 0.37351 686.40362 570.61469 0.18452 0.15339
3 0.39614 0.47239 0.35181 673.09861 566.93330 0.18212 0.15339
4 0.38332 0.48212 0.35102 670.66490 570.61469 0.18029 0.15339
5 0.39761 0.48035 0.31297 665.48218 570.61469 0.17889 0.15339
6 0.49297 0.54170 0.44068 704.94371 570.61469 0.18950 0.15339
7 0.49003 0.53667 0.39831 694.09067 570.61469 0.18658 0.15339
8 0.48343 0.54678 0.44120 700.53979 566.93330 0.18954 0.15339
9 0.48836 0.52942 0.40180 688.44422 570.61469 0.18507 0.15339
10 0.37222 0.46733 0.34234 674.55616 570.61469 0.18133 0.15339
11 0.47628 0.51869 0.41803 700.19396 570.60487 0.18822 0.15339
12 0.39852 0.48845 0.37497 682.02239 565.78307 0.18334 0.15209
13 0.46370 0.50896 0.40523 680.01202 557.44608 0.18399 0.15082
14 0.47899 0.51927 0.41898 682.36340 557.00031 0.18343 0.14973
15 0.44444 0.51543 0.41729 681.65121 552.29218 0.18324 0.14847
16 0.34372 0.46494 0.36224 660.39728 548.10162 0.17753 0.14734
17 0.38567 0.47307 0.40195 668.66072 544.05551 0.17975 0.14625
18 0.33656 0.44768 0.35417 645.55288 536.46748 0.17466 0.14515
19 0.45734 0.52853 0.42663 665.44843 537.27788 0.17888 0.14443
20 0.48106 0.53303 0.44320 667.84252 532.73493 0.17953 0.14321
21 0.35488 0.46722 0.39826 648.20127 529.21852 0.17425 0.14226
22 0.33555 0.45432 0.36747 637.53183 525.82331 0.17138 0.14135
23 0.39515 0.49641 0.43780 649.16183 518.87552 0.17564 0.14039
24 0.42053 0.47552 0.38506 639.14156 526.44919 0.17181 0.14152
25 0.38914 0.49427 0.41727 652.87031 528.03346 0.17550 0.14194
26 0.40136 0.49215 0.41504 657.29887 530.89302 0.17669 0.14271
27 0.36709 0.48031 0.39992 657.81331 533.83662 0.17683 0.14350
28 0.42695 0.51753 0.45965 674.75606 533.18532 0.18256 0.14426
29 0.44667 0.49956 0.37769 657.87455 540.79186 0.17685 0.14537
30 0.48481 0.53426 0.44945 677.94648 543.19663 0.18224 0.14602
31 0.31882 0.43819 0.35734 657.27628 546.50178 0.17669 0.14691
32 0.46794 0.52423 0.43085 683.46767 549.90404 0.18373 0.14782
33 0.37361 0.48239 0.42213 679.86870 549.85297 0.18395 0.14877
34 0.46694 0.50614 0.32723 741.06647 641.79333 0.19921 0.17253
35 1.03540 0.69636 0.46094 943.01344 800.12220 0.25350 0.21509
36 1.96997 0.91189 0.58277 1252.03505 1071.37771 0.33657 0.28800
37 7.75857 1.44583 0.61104 1731.24254 1541.81980 0.46539 0.41447
38 27.85548 2.31690 1.27915 2748.01174 2354.03249 0.74351 0.63691
39 122.94086 4.74236 3.03723 4622.98698 3681.44691 1.24274 0.98964
40 111.67005 4.83457 4.43472 3770.86934 2396.10679 1.01367 0.64411
41 45.68896 3.28656 3.15613 2567.43328 1589.03306 0.69017 0.42716
42 10.47247 1.73006 1.51401 1582.72191 1113.37943 0.42546 0.29930
43 3.28748 1.10454 1.00433 1135.85742 829.36879 0.30732 0.22440
44 1.40485 0.85705 0.75004 890.01701 665.27802 0.23925 0.17884
45 0.57698 0.57779 0.47315 717.29135 570.61469 0.19282 0.15339
46 0.42259 0.48336 0.36574 683.99337 570.61469 0.18387 0.15339
47 0.46385 0.50725 0.39156 691.99848 570.61469 0.18602 0.15339
48 0.47469 0.53604 0.44515 701.75217 566.93330 0.18987 0.15339
49 0.51103 0.55200 0.41143 695.90554 570.61469 0.18707 0.15339
50 0.45164 0.51255 0.39345 688.11519 570.61469 0.18498 0.15339
51 0.42755 0.50040 0.34297 676.93597 570.61469 0.18197 0.15339
52 0.44112 0.49288 0.35244 679.87150 570.61469 0.18276 0.15339
53 0.45297 0.50408 0.38419 683.03942 566.93330 0.18481 0.15339
